,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
205,Frankfurt Flughafen Fernb,FNAF,50.053171029929,8.570237159729,0.0,knooppuntIntercitystation,8061676
206,Freiburg (Breisgau) Hbf,RF,47.99789,7.84134,0.0,sneltreinstation,8014350
207,Gaanderen,GDR,51.93074,6.3486,0.0,stoptreinstation,8400241
208,Geldermalsen,GDM,51.88301,5.27127,0.0,knooppuntStoptreinstation,8400244
209,Geldrop,GP,51.419723510742,5.5505557060242,0.0,knooppuntStoptreinstation,8400245
210,Geleen Oost,GLN,50.966945648193,5.8430557250977,0.0,stoptreinstation,8400246
211,Geleen-Lutterade,LUT,50.975555419922,5.8247222900391,0.0,stoptreinstation,8400248
212,Gent Sint Pieters,FGSP,51.0361744,3.7108469,0.0,stoptreinstation,8892007
213,Gilze-Rijen,GZ,51.583610534668,4.9261112213135,0.0,stoptreinstation,8400251
214,Glanerbrug,GBR,52.218612670898,6.9744443893433,0.0,stoptreinstation,8400262
215,Glons,LGL,50.750277,5.535278,0.0,stoptreinstation,8841731
216,Goes,GS,51.498054504395,3.8905556201935,0.0,stoptreinstation,8400253
217,Goor,GO,52.230278015137,6.5844445228577,0.0,stoptreinstation,8400254
218,Göppingen,TGO,48.700191,9.651685,0.0,sneltreinstation,8029066
219,Gorinchem,GR,51.833889007568,4.9683332443237,1.0,knooppuntStoptreinstation,8400256
220,Göteborg Central,HOJE,57.708889,11.973333,0.0,intercitystation,7401318
221,Gouda,GD,52.017501831055,4.7044444084167,1.0,knooppuntIntercitystation,8400258
222,Gouda Goverwelle,GDG,52.014999389648,4.7408332824707,1.0,stoptreinstation,8400257
223,Gramsbergen,GBG,52.60916519165,6.6758332252502,0.0,stoptreinstation,8400259
224,Grijpskerk,GK,53.255740325573,6.3097786903381,0.0,stoptreinstation,8400267
225,Gronau (Westf.),G,52.21521,7.022109,0.0,knooppuntStoptreinstation,8021128
226,Groningen,GN,53.210556030273,6.5647220611572,0.0,knooppuntIntercitystation,8400263
227,Groningen Europapark,GERP,53.20480027,6.5854178,0.0,stoptreinstation,8400238
228,Groningen Noord,GNN,53.2301469,6.5563172,0.0,stoptreinstation,8400264
229,Grou-Jirnsum,GW,53.088890075684,5.8225002288818,0.0,stoptreinstation,8400266
230,Günzburg,MGZB,48.460226,10.278707,0.0,sneltreinstation,8002084
231,Haarlem,HLM,52.38777923584,4.6383333206177,1.0,knooppuntIntercitystation,8400285
232,Haarlem Spaarnwoude,HLMS,52.382778167725,4.6730556488037,1.0,stoptreinstation,8400270
233,Hagen Hbf,HAGEN,51.362747,7.460249,0.0,knooppuntSneltreinstation,8008073
234,Halfweg-Zwanenburg,HWZB,52.385935,4.747165,1.0,stoptreinstation,8400400
235,Hamm (Westf.),HAMM,51.678078,7.807821,0.0,knooppuntStoptreinstation,8010002
236,Hannover Hbf,HANN,52.3770401,9.7416759,0.0,megastation,8013552
237,Hardenberg,HDB,52.572776794434,6.6286110877991,0.0,sneltreinstation,8400293
238,Harderwijk,HD,52.337501525879,5.619722366333,0.0,knooppuntStoptreinstation,8400294
239,Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,1.0,stoptreinstation,8400438
240,Hardinxveld-Giessendam,GND,51.830554962158,4.8358335494995,1.0,stoptreinstation,8400295
241,Haren,HRN,53.176109313965,6.6172223091125,0.0,stoptreinstation,8400297
242,Harlingen,HLG,53.1704205,5.4251932,0.0,stoptreinstation,8400296
243,Harlingen Haven,HLGH,53.174917,5.4112885,0.0,stoptreinstation,8400298
244,Hasselt,FHS,50.930555,5.3275,0.0,stoptreinstation,8831005
245,Heemskerk,HK,52.495277404785,4.6869444847107,0.0,stoptreinstation,8400317
246,Heemstede-Aerdenhout,HAD,52.35916519165,4.6066665649414,1.0,intercitystation,8400302
247,Heerenveen,HR,52.961387634277,5.9141664505005,0.0,intercitystation,8400305
248,Heerenveen IJsstadion,HRY,52.935276031494,5.9438886642456,0.0,facultatiefStation,8400301
249,Heerhugowaard,HWD,52.669723510742,4.8227777481079,0.0,knooppuntStoptreinstation,8400306
250,Heerlen,HRL,50.89083480835,5.9749999046326,0.0,knooppuntIntercitystation,8400307
251,Heerlen Woonboulevard,HRLW,50.896667,5.952222,0.0,stoptreinstation,8400404
252,Heeze,HZE,51.384998321533,5.5694446563721,0.0,stoptreinstation,8400308
253,Heide (B),MID,51.364828,4.4604308,0.0,stoptreinstation,8821519
254,Heiloo,HLO,52.599445343018,4.7005553245544,0.0,stoptreinstation,8400309
255,Heino,HNO,52.427223205566,6.2211112976074,0.0,stoptreinstation,8400310
256,Helmond,HM,51.475555419922,5.6619443893433,0.0,knooppuntIntercitystation,8400313
257,Helmond 't Hout,HMH,51.46794,5.63085,0.0,stoptreinstation,8400300
258,Helmond Brandevoort,HMBV,51.462223052979,5.6072220802307,0.0,stoptreinstation,8400242
259,Helmond Brouwhuis,HMBH,51.47068,5.70177,0.0,stoptreinstation,8400299
260,Hemiksem,LKM,51.13624,4.33828,0.0,stoptreinstation,8824224
261,Hemmen-Dodewaard,HMN,51.9222129,5.6737254,0.0,stoptreinstation,8400315
262,Hengelo,HGL,52.261665344238,6.7938890457153,0.0,knooppuntIntercitystation,8400316
263,Hengelo Gezondheidspark,HGLG,52.261667,6.767778,0.0,stoptreinstation,8400433
264,Hengelo Oost,HGLO,52.268890380859,6.8194446563721,0.0,stoptreinstation,8400312
265,Herstal,LHS,50.66076,5.62231,0.0,stoptreinstation,8841608
266,Herzogenrath,HZ,50.870916,6.094486,0.0,stoptreinstation,8015190
267,Hillegom,HIL,52.302501678467,4.5655555725098,1.0,stoptreinstation,8400329
268,Hilversum,HVS,52.225833892822,5.1819443702698,1.0,knooppuntIntercitystation,8400322
269,Hilversum Media Park,HVSM,52.238056182861,5.1738886833191,1.0,stoptreinstation,8400324
270,Hilversum Sportpark,HVSP,52.216110229492,5.1872220039368,1.0,stoptreinstation,8400570
271,Hindeloopen,HNP,52.9464903,5.423063,0.0,stoptreinstation,8400323
272,Hoboken-Polder,FOE,51.18285,4.34831,0.0,stoptreinstation,8824158
273,Hoensbroek,HB,50.905555725098,5.9305553436279,0.0,stoptreinstation,8400326
274,Hoevelaken,HVL,52.16652,5.45718,0.0,stoptreinstation,8400490
275,Hollandsche Rading,HOR,52.17777633667,5.1791667938232,1.0,stoptreinstation,8400327
276,Holten,HON,52.283889770508,6.42027759552,0.0,stoptreinstation,8400328
277,Holzwickede,EHZW,51.504767,7.619647,0.0,stoptreinstation,8010384
278,Hoofddorp,HFD,52.293334960938,4.7005553245544,1.0,stoptreinstation,8400332
279,Hoogeveen,HGV,52.733890533447,6.4736108779907,0.0,stoptreinstation,8400330
280,Hoogezand-Sappemeer,HGZ,53.159818131676,6.7707538604736,0.0,knooppuntStoptreinstation,8400331
281,Hoogkarspel,HKS,52.69055557251,5.1838889122009,0.0,stoptreinstation,8400334
282,Hoorn,HN,52.644721984863,5.0555553436279,0.0,knooppuntIntercitystation,8400337
283,Hoorn Kersenboogerd,HNK,52.653610229492,5.0855555534363,0.0,stoptreinstation,8400336
284,Hopfgarten,HOPF,47.45525,12.14921,0.0,stoptreinstation,8101168
285,Horst-Sevenum,HRT,51.426387786865,6.0422220230103,0.0,stoptreinstation,8400339
286,Houten,HTN,52.03402,5.16821,1.0,knooppuntStoptreinstation,8400340
287,Houten Castellum,HTNC,52.01701,5.17949,1.0,stoptreinstation,8400335
288,Houthem-St. Gerlach,SGL,50.873332977295,5.7972221374512,0.0,stoptreinstation,8400341
289,Hurdegaryp,HDG,53.2187783,5.934543,0.0,stoptreinstation,8400292
290,IJlst,IJT,53.0146614,5.6160801,0.0,stoptreinstation,8400722
291,Innsbruck Hbf,INNSB,47.26328,11.401,0.0,knooppuntIntercitystation,8101187
292,Jenbach,JENBAC,47.38844,11.77841,0.0,stoptreinstation,8101176
293,Kaldenkirchen,KN,51.327184,6.203225,0.0,stoptreinstation,8015130
294,Kalmthout,FKTH,51.3909989,4.4668202,0.0,stoptreinstation,8821444
295,Kampen,KPN,52.559722900391,5.9216666221619,0.0,stoptreinstation,8400353
296,Kampen Zuid,KPNZ,52.5331,5.91309,0.0,stoptreinstation,8400360
297,Kapelle-Biezelinge,BZL,51.480834960938,3.9561111927033,0.0,stoptreinstation,8400354
298,Kapellen,LKP,51.31362,4.43262,0.0,stoptreinstation,8821535
299,Karlsruhe Hbf,KARLSR,48.9936223,8.400743,0.0,intercitystation,8014228
300,Kerkrade Centrum,KRD,50.861667633057,6.0574998855591,0.0,knooppuntStoptreinstation,8400355
301,Kesteren,KTR,51.9313869,5.5833465,0.0,stoptreinstation,8400359
302,Kijkuit,GKT,51.37867,4.46722,0.0,stoptreinstation,8821451
303,Klarenbeek,KBK,52.17805480957,6.0836110115051,0.0,stoptreinstation,8400361
304,Klimmen-Ransdaal,KMR,50.866390228271,5.8905553817749,0.0,stoptreinstation,8400362
305,Koblenz Hbf,KKO,50.351085,7.588649,0.0,intercitystation,8019023
306,Köln Hbf,KOLN,50.9432158,6.9589214,0.0,megastation,8015458
307,Köln Messe/Deutz,KKD,50.940874,6.975001,0.0,megastation,8015561
308,Köln West,KKW,50.943611,6.934444,0.0,intercitystation,8015468
309,Köln-Ehrenfeld,KKERP,50.951533,6.917276,0.0,stoptreinstation,8015321
310,Köln-Mülheim,KKM,50.958056,7.013333,0.0,intercitystation,8015541
311,Koog aan de Zaan,KZ,52.458610534668,4.8055553436279,1.0,stoptreinstation,8400363
