,index,From,To,Seats,geometry,color
31,79,CVM,KRD,43074.0,"LINESTRING (6.05954 50.8761, 6.05958 50.87571, 6.05959 50.8753, 6.05944 50.87451, 6.05925 50.87393, 6.05784 50.87013, 6.05768 50.86954, 6.05762 50.86904, 6.05754 50.86751, 6.05732 50.86505, 6.05728 50.86415, 6.05727 50.86235, 6.05723 50.86167)","[1.0, 0.8509803921568627, 0.0]"
32,4,CO,GBG,52470.0,"LINESTRING (6.73535 52.66359, 6.73559 52.66256, 6.73573 52.66207, 6.73613 52.66102, 6.73623 52.66022, 6.73639 52.65811, 6.73638 52.65755, 6.73634 52.65712, 6.73624 52.65666, 6.73611 52.65617, 6.73596 52.65578, 6.73569 52.6552, 6.73527 52.6545, 6.73497 52.65409, 6.73457 52.65361, 6.73427 52.65329, 6.73022 52.64952, 6.72859 52.64803, 6.72813 52.64764, 6.72727 52.64695, 6.72396 52.6445, 6.72304 52.64379, 6.72218 52.64307, 6.72167 52.64261, 6.72061 52.64156, 6.71911 52.64, 6.7184 52.63921, 6.71641 52.63679, 6.71571 52.636, 6.71498 52.63523, 6.71421 52.63446, 6.7134 52.6337, 6.71214 52.63257, 6.71133 52.6319, 6.71075 52.63149, 6.71029 52.6312, 6.70827 52.63004, 6.70765 52.62962, 6.70722 52.6293, 6.70676 52.62891, 6.7064 52.62857, 6.70575 52.62786, 6.70308 52.62452, 6.70271 52.62413, 6.70231 52.62373, 6.7019 52.62338, 6.70149 52.62305, 6.70096 52.62268, 6.70037 52.62231, 6.69993 52.62205, 6.69798 52.62107, 6.69696 52.62061, 6.69641 52.6204, 6.69576 52.62018, 6.6951 52.61998, 6.69163 52.61903, 6.69049 52.61867, 6.68978 52.61841, 6.68927 52.6182, 6.68858 52.61788, 6.68627 52.61676, 6.68483 52.61603, 6.67983 52.61306, 6.67926 52.61269, 6.67884 52.61239, 6.67834 52.61199, 6.67799 52.61167, 6.67727 52.61091, 6.67656 52.61011, 6.67587 52.60915)","[1.0, 0.7764705882352941, 0.0]"
33,5,GBG,HDB,52470.0,"LINESTRING (6.67587 52.60915, 6.67551 52.60859, 6.67496 52.6076, 6.67337 52.60415, 6.66921 52.59529, 6.66901 52.59494, 6.6686 52.59435, 6.6682 52.59384, 6.66784 52.59344, 6.66746 52.59306, 6.6666 52.59233, 6.66606 52.59194, 6.66564 52.59166, 6.66514 52.59135, 6.66458 52.59104, 6.66393 52.59071, 6.65569 52.58695, 6.65464 52.58644, 6.63787 52.57738, 6.63629 52.57663, 6.63148 52.57455, 6.63092 52.57428, 6.63035 52.57398, 6.62983 52.57367, 6.62857 52.57279)","[1.0, 0.7764705882352941, 0.0]"
34,7,MRB,OMN,52470.0,"LINESTRING (6.57531 52.50942, 6.57426 52.50889, 6.57316 52.5083, 6.57197 52.50775, 6.5713 52.50746, 6.57033 52.50712, 6.56943 52.50684, 6.56881 52.50668, 6.56807 52.50652, 6.5674 52.50639, 6.56666 52.50628, 6.56591 52.5062, 6.5646 52.50611, 6.51216 52.50505, 6.51069 52.50503, 6.50922 52.50505, 6.50775 52.50512, 6.50629 52.50523, 6.46563 52.50951, 6.46415 52.50965, 6.46268 52.50973, 6.4612 52.50978, 6.44499 52.50973, 6.44353 52.50975, 6.44206 52.5098, 6.42735 52.51043, 6.42587 52.51048, 6.42516 52.51048, 6.42375 52.51045, 6.42221 52.51035, 6.42077 52.51019, 6.4189 52.50991, 6.4158 52.50951)","[1.0, 0.7764705882352941, 0.0]"
35,8,OMN,DL,52470.0,"LINESTRING (6.4158 52.50951, 6.41431 52.50932, 6.41285 52.50916, 6.41141 52.50897, 6.41007 52.50875, 6.40854 52.50855, 6.4071 52.5084, 6.35157 52.50404, 6.32527 52.50197, 6.32379 52.50184, 6.32235 52.50166, 6.32092 52.50144, 6.28346 52.49509, 6.28121 52.49473, 6.28049 52.49464, 6.27975 52.49457, 6.27904 52.49453, 6.27829 52.49451, 6.27759 52.4945, 6.2768 52.49453, 6.27615 52.49457, 6.27536 52.49464, 6.27476 52.49472, 6.27391 52.49486, 6.27325 52.49498, 6.27113 52.49547, 6.26566 52.49678, 6.2629 52.49741, 6.25866 52.49841)","[1.0, 0.7764705882352941, 0.0]"
36,9,DL,ZL,52470.0,"LINESTRING (6.25866 52.49841, 6.25602 52.49904, 6.25059 52.50039, 6.24371 52.50203, 6.24231 52.50233, 6.24089 52.50259, 6.23946 52.5028, 6.23802 52.50297, 6.23657 52.50309, 6.1515 52.50814, 6.15005 52.5082, 6.14939 52.50822, 6.14791 52.50821, 6.14711 52.50817, 6.14631 52.50812, 6.14565 52.50805, 6.14484 52.50794, 6.14423 52.50783, 6.14357 52.50769, 6.14286 52.50752, 6.1422 52.50732, 6.14155 52.5071, 6.14031 52.50661, 6.1395 52.50625, 6.13869 52.50593, 6.12582 52.49983, 6.12531 52.4996, 6.1246 52.49933, 6.12329 52.49893, 6.12256 52.49874, 6.12191 52.49861, 6.12046 52.49841, 6.11968 52.49834, 6.11898 52.49831, 6.11455 52.49812, 6.1131 52.49809, 6.11243 52.49811, 6.1116 52.49816, 6.11086 52.49824, 6.11013 52.49834, 6.10944 52.49846, 6.10873 52.49861, 6.1083 52.49871, 6.10737 52.49898, 6.10607 52.4994, 6.10485 52.49989, 6.09826 52.50235, 6.0973 52.50272, 6.09611 52.50323, 6.0949 52.50369, 6.09358 52.50412, 6.09194 52.50472)","[1.0, 0.7764705882352941, 0.0]"
37,44,RL,VD,52605.0,"LINESTRING (6.44915 52.08095, 6.44701 52.08162, 6.43512 52.08503, 6.43376 52.08541, 6.43238 52.08574, 6.43101 52.08605, 6.42964 52.08633, 6.42824 52.08658, 6.4268 52.0868, 6.36563 52.09566, 6.36422 52.09587, 6.36281 52.09611, 6.36142 52.09641, 6.36006 52.09677, 6.33993 52.10214, 6.33857 52.10248, 6.3372 52.10279, 6.33444 52.10339, 6.32074 52.10653, 6.31939 52.10687, 6.31716 52.10739)","[1.0, 0.7764705882352941, 0.0]"
38,45,VD,ZP,52605.0,"LINESTRING (6.31716 52.10739, 6.31665 52.1075, 6.31574 52.10768, 6.31454 52.10796, 6.31325 52.10832, 6.31206 52.10872, 6.31133 52.10901, 6.31062 52.10932, 6.30961 52.10982, 6.30853 52.11045, 6.30757 52.11111, 6.30711 52.11148, 6.30626 52.11223, 6.27276 52.14393, 6.27191 52.14464, 6.27092 52.14534, 6.27047 52.14563, 6.26933 52.1463, 6.26852 52.14672, 6.24956 52.15539, 6.24837 52.15586, 6.24754 52.15614, 6.24703 52.15629, 6.2462 52.15652, 6.24548 52.15669, 6.24437 52.15691, 6.24341 52.15705, 6.23405 52.15835, 6.23344 52.1584, 6.23249 52.15846, 6.23103 52.15847, 6.23005 52.15843, 6.22324 52.1579, 6.21889 52.1576, 6.21453 52.15726, 6.21307 52.15712, 6.21275 52.15708, 6.21213 52.15695, 6.2117 52.15684, 6.21094 52.15659, 6.21047 52.15639, 6.20992 52.15608, 6.20941 52.15576, 6.2085 52.15513, 6.20799 52.15472, 6.1995 52.14798, 6.19862 52.14726, 6.19747 52.14638, 6.19732 52.14627, 6.19602 52.14551, 6.1948 52.14504, 6.19445 52.14493)","[1.0, 0.7764705882352941, 0.0]"
39,42,WWW,LTV,52605.0,"LINESTRING (6.70415 51.9745, 6.70222 51.9751, 6.70164 51.97532, 6.70114 51.97553, 6.69928 51.97637, 6.69802 51.97682, 6.63444 51.99881, 6.59644 52.01191)","[1.0, 0.7764705882352941, 0.0]"
40,43,LTV,RL,52605.0,"LINESTRING (6.59644 52.01191, 6.59368 52.01284, 6.59115 52.01375, 6.55934 52.02472, 6.55809 52.02517, 6.55687 52.02566, 6.55567 52.02617, 6.5545 52.0267, 6.55335 52.02726, 6.55222 52.02785, 6.49901 52.05732, 6.47616 52.06994, 6.46383 52.07628, 6.46267 52.07684, 6.46147 52.07734, 6.46022 52.07779, 6.45891 52.07819, 6.45362 52.07971, 6.45226 52.08004, 6.44915 52.08095)","[1.0, 0.7764705882352941, 0.0]"
