From,To,Difference,Maximum seats,Minimum seats
STV,KMW,306.0,7578.0,7272.0
HNP,WK,306.0,7578.0,7272.0
KMW,HNP,306.0,7578.0,7272.0
ZB,VDM,270.0,5490.0,5220.0
HT,EHV,200.0,1612.0,1412.0
MG,LW,153.0,12717.0,12564.0
SKND,MG,153.0,12717.0,12564.0
SK,SKND,153.0,12717.0,12564.0
ZB,SDA,135.0,9630.0,9495.0
SDA,WS,135.0,9630.0,9495.0
WS,NSCH,90.0,5355.0,5265.0
EMN,EMNZ,45.0,6930.0,6885.0
DLN,CO,45.0,6930.0,6885.0
MRB,OMN,45.0,8820.0,8775.0
CO,GBG,45.0,8820.0,8775.0
GBG,HDB,45.0,8820.0,8775.0
DL,ZL,45.0,8820.0,8775.0
OMN,DL,45.0,8820.0,8775.0
DDZD,DDR,0.0,36432.0,36432.0
DEI,LW,0.0,10638.0,10638.0
BDPB,ZLW,0.0,8291.0,8291.0
FN,DRP,0.0,10638.0,10638.0
VD,RL,0.0,3735.0,3735.0
WWW,WW,0.0,3735.0,3735.0
LTV,WWW,0.0,3735.0,3735.0
RL,LTV,0.0,3735.0,3735.0
ZP,VD,0.0,3735.0,3735.0
UT,RTD,0.0,800.0,800.0
HLGH,HLG,0.0,10638.0,10638.0
HLG,FN,0.0,10638.0,10638.0
RSD,ODB,0.0,11850.0,11850.0
ZVB,ZLW,0.0,11850.0,11850.0
ODB,ZVB,0.0,11850.0,11850.0
GD,RTD,0.0,300.0,300.0
DRP,DEI,0.0,10638.0,10638.0
RTD,GD,0.0,1000.0,1000.0
ETN,RSD,0.0,1000.0,1000.0
BD,ETN,0.0,1000.0,1000.0
GVC,GV,0.0,200.0,200.0
UT,UTO,0.0,118088.0,118088.0
DV,DVC,0.0,6075.0,6075.0
ZLW,DDZD,0.0,36432.0,36432.0
BD,BDPB,0.0,8291.0,8291.0
