From,To,Difference,Maximum seats,Minimum seats
Deurne,Helmond Brouwhuis,23363.0,65800.0,42437.0
Wolvega,Steenwijk,23279.0,46679.0,23400.0
Helmond Brouwhuis,Helmond,23216.0,65865.0,42649.0
Helmond 't Hout,Helmond Brandevoort,23216.0,65865.0,42649.0
Helmond,Helmond 't Hout,23216.0,65865.0,42649.0
Helmond Brandevoort,Eindhoven Centraal,23216.0,65865.0,42649.0
Tilburg,'s-Hertogenbosch,23179.0,67752.0,44573.0
's-Hertogenbosch Oost,Rosmalen,23032.0,67070.0,44038.0
Oss West,Oss,23032.0,67070.0,44038.0
Rosmalen,Oss West,23032.0,67070.0,44038.0
Brummen,Zutphen,22365.0,59509.0,37144.0
Dieren,Brummen,22365.0,59509.0,37144.0
Rheden,Dieren,22365.0,59509.0,37144.0
Arnhem Velperpoort,Arnhem Presikhaaf,22365.0,59509.0,37144.0
Arnhem Presikhaaf,Velp,22365.0,59509.0,37144.0
Velp,Rheden,22365.0,59509.0,37144.0
Holten,Deventer Colmschate,22000.0,39800.0,17800.0
Rijssen,Holten,22000.0,39800.0,17800.0
Oss,Ravenstein,21760.0,65798.0,44038.0
Ravenstein,Wijchen,21760.0,65798.0,44038.0
Voorhout,Leiden Centraal,21184.0,45200.0,24016.0
Hillegom,Voorhout,21184.0,45200.0,24016.0
Heemstede-Aerdenhout,Hillegom,21184.0,45200.0,24016.0
Haarlem,Heemstede-Aerdenhout,21184.0,45200.0,24016.0
Deventer Colmschate,Deventer,21000.0,39800.0,18800.0
Lage Zwaluwe,Zevenbergen,20950.0,65850.0,44900.0
Oudenbosch,Roosendaal,20950.0,65850.0,44900.0
Zevenbergen,Oudenbosch,20950.0,65850.0,44900.0
Kampen,Zwolle Stadshagen,20691.0,35568.0,14877.0
Zwolle Stadshagen,Zwolle,20691.0,35568.0,14877.0
Alkmaar,Alkmaar Noord,20092.0,81988.0,61896.0
Soestdijk,Soest,20060.0,21060.0,1000.0
Soest Zuid,Den Dolder,20060.0,21060.0,1000.0
Soest,Soest Zuid,20060.0,21060.0,1000.0
Baarn,Soestdijk,20060.0,21060.0,1000.0
Apeldoorn Osseveld,Apeldoorn,19925.0,43075.0,23150.0
Deventer,Twello,19925.0,43075.0,23150.0
Twello,Apeldoorn Osseveld,19925.0,43075.0,23150.0
Purmerend Weidevenne,Purmerend,19650.0,71550.0,51900.0
Purmerend,Purmerend Overwhere,19650.0,71550.0,51900.0
Zaandam Kogerveld,Purmerend Weidevenne,19650.0,71550.0,51900.0
Zaandam,Zaandam Kogerveld,19650.0,71550.0,51900.0
Purmerend Overwhere,Hoorn,19650.0,71550.0,51900.0
Amsterdam Muiderpoort,Amsterdam Centraal,19608.0,284756.0,265148.0
Barneveld Noord,Hoevelaken,18297.0,29925.0,11628.0
Barneveld Zuid,Barneveld Centrum,18297.0,29925.0,11628.0
Barneveld Centrum,Barneveld Noord,18297.0,29925.0,11628.0
Assen,Beilen,18203.0,59103.0,40900.0
Hoogeveen,Meppel,18203.0,59103.0,40900.0
Beilen,Hoogeveen,18203.0,59103.0,40900.0
Apeldoorn,Hoevelaken,17175.0,21875.0,4700.0
Tiel,Tiel Passewaaij,16956.0,34560.0,17604.0
Tiel Passewaaij,Geldermalsen,16956.0,34560.0,17604.0
Steenwijk,Meppel,16679.0,46679.0,30000.0
Alkmaar Noord,Heerhugowaard,16676.0,78572.0,61896.0
Rhenen,Veenendaal Centrum,16566.0,28656.0,12090.0
Veenendaal Centrum,Veenendaal West,16566.0,28656.0,12090.0
Veenendaal West,Maarn,16566.0,28656.0,12090.0
Spaubeek,Geleen Oost,16216.0,44920.0,28704.0
Heerlen,Hoensbroek,16216.0,44920.0,28704.0
Hoensbroek,Nuth,16216.0,44920.0,28704.0
Geleen Oost,Sittard,16216.0,44920.0,28704.0
Schinnen,Spaubeek,16216.0,44920.0,28704.0
Nuth,Schinnen,16216.0,44920.0,28704.0
Susteren,Echt,16078.0,81030.0,64952.0
Sittard,Susteren,16078.0,81030.0,64952.0
Echt,Roermond,16078.0,81030.0,64952.0
Wierden,Nijverdal,14649.0,26961.0,12312.0
Heino,Zwolle,14649.0,26961.0,12312.0
Nijverdal,Raalte,14649.0,26961.0,12312.0
Raalte,Heino,14649.0,26961.0,12312.0
Rotterdam Lombardijen,Breda-Prinsenbeek,14516.0,65824.0,51308.0
Venlo,Blerick,13950.0,57785.0,43835.0
Hoogkarspel,Bovenkarspel-Grootebroek,13840.0,54000.0,40160.0
Hoorn Kersenboogerd,Hoogkarspel,13840.0,54000.0,40160.0
Bovenkarspel-Grootebroek,Bovenkarspel Flora,13840.0,54000.0,40160.0
Bovenkarspel Flora,Enkhuizen,13840.0,54000.0,40160.0
Roermond,Weert,13000.0,70200.0,57200.0
Groningen Noord,Groningen,12960.0,20160.0,7200.0
Sauwerd,Groningen Noord,12960.0,20160.0,7200.0
Wierden,Rijssen,12875.0,39800.0,26925.0
Hoofddorp,Rotterdam Centraal,12636.0,52756.0,40120.0
Zuidhorn,Groningen,12258.0,23220.0,10962.0
De Westereen,Buitenpost,11628.0,22590.0,10962.0
Feanwâlden,De Westereen,11628.0,22590.0,10962.0
Grijpskerk,Zuidhorn,11628.0,22590.0,10962.0
Leeuwarden Camminghaburen,Hurdegaryp,11628.0,22590.0,10962.0
Leeuwarden,Leeuwarden Camminghaburen,11628.0,22590.0,10962.0
Hurdegaryp,Feanwâlden,11628.0,22590.0,10962.0
Buitenpost,Grijpskerk,11628.0,22590.0,10962.0
Zandvoort aan Zee,Overveen,11448.0,37800.0,26352.0
Overveen,Haarlem,11448.0,37800.0,26352.0
Santpoort Noord,Santpoort Zuid,11232.0,38448.0,27216.0
Driehuis,Santpoort Noord,11232.0,38448.0,27216.0
Heemskerk,Beverwijk,11232.0,38448.0,27216.0
Uitgeest,Heemskerk,11232.0,38448.0,27216.0
Santpoort Zuid,Bloemendaal,11232.0,38448.0,27216.0
Beverwijk,Driehuis,11232.0,38448.0,27216.0
Bloemendaal,Haarlem,11232.0,38448.0,27216.0
Naarden-Bussum,Almere Poort,10994.0,27626.0,16632.0
Zutphen,Deventer,10800.0,42400.0,31600.0
Olst,Wijhe,10800.0,42400.0,31600.0
Deventer,Olst,10800.0,42400.0,31600.0
Wijhe,Zwolle,10800.0,42400.0,31600.0
Obdam,Heerhugowaard,10476.0,33372.0,22896.0
Hoorn,Obdam,10476.0,33372.0,22896.0
Hardinxveld-Giessendam,Hardinxveld Blauwe Zoom,10260.0,18495.0,8235.0
Hardinxveld Blauwe Zoom,Sliedrecht,10260.0,18495.0,8235.0
Sliedrecht Baanhoek,Dordrecht Stadspolders,10260.0,18495.0,8235.0
Dordrecht Stadspolders,Dordrecht,10260.0,18495.0,8235.0
Sliedrecht,Sliedrecht Baanhoek,10260.0,18495.0,8235.0
Boven-Hardinxveld,Hardinxveld-Giessendam,10260.0,18495.0,8235.0
Gorinchem,Boven-Hardinxveld,10260.0,18495.0,8235.0
Kampen Zuid,Dronten,9808.0,59958.0,50150.0
Dronten,Lelystad Centrum,9808.0,59958.0,50150.0
Zwolle,Kampen Zuid,9808.0,59958.0,50150.0
Horst-Sevenum,Deurne,9000.0,44600.0,35600.0
Blerick,Horst-Sevenum,9000.0,44600.0,35600.0
Schiedam Centrum,Rotterdam Centraal,7524.0,38124.0,30600.0
Delft,Delft Campus,7524.0,38124.0,30600.0
Delft Campus,Schiedam Centrum,7524.0,38124.0,30600.0
Utrecht Centraal,Utrecht Zuilen,7434.0,254221.0,246787.0
Utrecht Zuilen,Maarssen,7434.0,253897.0,246463.0
Bunde,Beek-Elsloo,7422.0,52488.0,45066.0
Geleen-Lutterade,Sittard,7422.0,52488.0,45066.0
Maastricht,Bunde,7422.0,52488.0,45066.0
Beek-Elsloo,Geleen-Lutterade,7422.0,52488.0,45066.0
Den Helder Zuid,Den Helder,7400.0,45200.0,37800.0
Heerhugowaard,Schagen,7400.0,45200.0,37800.0
Anna Paulowna,Den Helder Zuid,7400.0,45200.0,37800.0
Schagen,Anna Paulowna,7400.0,45200.0,37800.0
Breukelen,Abcoude,7395.0,265667.0,258272.0
